Manuscript Identifier	COI	Funding
PONE-D-15-17539	The authors have declared that no competing interests exist.	"Canadian Institutes for Health Research MOP-86530- SR, Natural Sciences and Engineering Research Council of Canada- SR and Fonds de Recherche du Quebec- XLC."
PONE-D-15-17540	"Robert Staruch is a paid employee of Philips Research. The focused ultrasound system used in this study is a product of Philips Healthcare. Although Philips Research provided support in the form of salary for one of the co-authors, they did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"Funding was generously provided by the Cancer Prevention and Research Institute of Texas (R1308, http://www.cprit.state.tx.us/) and the MR and Evelyn Hudson Foundation.   The MR-HIFU system used in this study is a product of Philips Healthcare. Philips also provided support in the form of salaries for authors [RS], but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-17549	The authors have declared that no competing interests exist.	"Funding was provided by Canadian Institutes of Health Research (CIHR - http://www.cihr-irsc.gc.ca/e/193.html) Grant # MOP 97935 (VEB, WFC, DLM); CIHR Grant # OTG 88592 (WFC); CIHR Grant # MOP 10520 (WFC). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17556	The authors have declared that no competing interests exist.	"Supported by National Institutes of Health grants AA015741 and AA023291(SMB) and AA015512 (Indiana Alcohol Research Center).  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17566	The authors have declared that no competing interests exist.	"This work was supported by Grants-in-Aid for Scientific Research from the Japan Society for the Promotion of Science (22590974 to NO and 24659451 to YH), and by Grants-in-Aid for Scientific Research from the Ministry of Education, Culture, Sports, Science, and Technology (23122507 and 25122708 to YH)."
PONE-D-15-17580	The authors have declared that no competing interests exist.	"This research was supported by the Russian Academy of Science under the programs “Molecular and Cellular Biology�; Interdisciplinary grant of SB RAS no. 86, by the grant Scientific schools SS-01350.2014.4, and Special Purpose Program “Research and Development in a Priority Direction of Development of a Scientific and Technological Complex of Russia for 2014–2020� (Agreement No. 14.607.21.0043, project RFMEFI60714X0043). MOV was a recipient of Presidential fellowship 1619.2013.4."
PONE-D-15-17605	The authors have declared that no competing interests exist.	"This research was supported by the National Natural Science Foundation of China (NSFC) projects (No. 81271606 and 81571708), http://www.nsfc.gov.cn/ and the Research Fund of Science and Technology Department of Jilin Province (No. 20150520154JH),  http://kjt.jl.gov.cn/kjt/4/tindex.shtml. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17620	The authors have declared that no competing interests exist.	"This work was supported by the Spanish Ministerio de Economía y Competitividad (grant numbers BFU2009-10765 and BFU2010-15978). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17632	The authors have declared that no competing interests exist.	"The work was supported by IngaBritt and Arne Lundbergs foundation (http://www.lundbergsstiftelsen.se/index.html), Wilhelm and Martina Lundgrens Foundation (www.wmlundgren.se/) (JC), the Sahlgrenska Academy of the University of Gothenburg (http://sahlgrenska.gu.se/) (JC) and the Graduate School in Environment and Health, a cooperation between University of Gothenburg, Chalmers University of Technology and the Västra Götaland Region, coordinated by the Centre for Environment and Sustainability (http://gmv.gu.se/miljohalsa) (AW). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17662	The authors have declared that no competing interests exist.	"JGK received the Armed Forces Radiobiology Research Institute Intramural Funding RAB3AL and RAB33336 to conduct experiments presented in this manuscript (URL: www.usuhs.edu/AFRRI). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17674	The authors have declared that no competing interests exist.	"The authors acknowledge funding from the European Union Framework Programme 7 under grant agreements no. 225464 (ARAKNES - Array of Robots Augmenting the Kinematics of Endoluminal Surgery) and 224014 sub 2.16 (Photonics4Life - Fibre Optic Sensors as Guidance and Diagnostic Tools for Epiduroscopy). Part of the study was performed when MEG was employed at the University of St Andrews, UK, and significant sections of OCT software were written while NK was employed by the University of Sheffield. PON01_01297 and from the Ministero dell'Istruzione Universita' e Ricerca (MIUR)."
PONE-D-15-17716	The authors have declared that no competing interests exist.	This work was supported by the Canadian Institutes of Health Research (CIHR) and the Fondation André-Delambre.
PONE-D-15-17734	The authors have declared that no competing interests exist.	"This work was supported by grants from the Agencia Nacional de Promoción Científica y Tecnológica, Argentina (PICT 11-2263 and PICT 13-1233) and the Secretaría de Ciencia y Técnica, Universidad de Buenos Aires, Argentina (UBACyT 20020110100138) to M.I.G."
PONE-D-15-17741	The authors have declared that no competing interests exist.	"The Di Giulio lab is supported by National Institutes of Environmental Health awards P42-ES010356 (Duke University Superfund Research Center) and Duke University Program in Environmental Health Training grant (T32-ES021432). Purchase of the XFe24 Extracellular Flux Analyzer was supported by funds provided by the Office of Research Support and the Nicholas School of the Environment, Duke University. The Chan lab is supported by NIH awards P20RR024485/P20 GM103542, R21DA037706, and R01GM111672."
PONE-D-15-17743	"The corresponding author has read the journal's policy and the authors of this manuscript have the following competing interests: the authors currently do not hold any patents. However, the authors have filed a patent application entitled “Reversal of general anesthesia by administration of methylphenidate, amphetamine, modafinil, amantadine, and/or caffeine.� The application number is US 13/819,924 and the PCT number is PCT/US2011/050213. This pending patent application does not alter the authors’ adherence to PLOS ONE policies on sharing data and materials."	"This research was supported by grants TR01-GM104948 (KS and ENB) and K08-GM094394 (KS) from the National Institute of General Medical Sciences (www.nigms.nih.gov), and a Mentored Research Training Grant (NET) from the Foundation for Anesthesia Education and Research (www.faer.org). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17747	"Teruo Okano is a founder and a member of the board of CellSeed Inc., which has licenses for certain cell sheet-related technologies and patents from Tokyo Women’s Medical University.  Teruo Okano, Tatsuya Shimizu, and Masayuki Yamato are stakeholders of CellSeed Inc.  Tokyo Women’s Medical University is receiving research funds from CellSeed Inc. "	"This work was supported by the Special Coordination Found for Promoting Science and Technology of Japan and the Formation of Innovation Center for Fusion of Advanced Technologies in the Special Coordination Funds for Promoting Science and Technology Cell Sheet Tissue Engineering Center (CSTEC) from the Ministry of Education, Culture, Sports Science, and Technology (MEXT), Japan.  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17756	The authors have declared that no competing interests exist.	"Financial support for this research was provided by grant No. 81372096 from the National Natural Science Foundation of China, Beijing, China, and grant No. 12ZCZDSY013300 from the Key Projects in the Tianjin Science & Technology Pillar Program, Tianjin, China. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17760	The authors have declared that no competing interests exist.	"This work was supported by the National Natural Science Foundation of China (81170312，30772296) and National Natural Science Foundation of Beijing (7122163), granted to Q.L.C."
PONE-D-15-17774	The authors have declared that no competing interests exist.	"This work was supported by the National Research Foundation of Korea (NRF) grant funded by the Korean government (MSIP) (2008-0062282). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17793	The authors have declared that no competing interests exist.	"The work was supported by the following: Deutsche Forschungsgemeinschaft (AM103/21-1, SPP1468-IMMUNOBONE) [http://www.dfg.de/]; Seventh Framework Programme under grant agreement n°602300 (SYBIL) [http://www.sybil-fp7.eu/]; and IMI-funded project BTCure [http://www.imi.europa.eu/]."
PONE-D-15-17808	The authors have declared that no competing interests exist.	"This work was supported by 103-2311-B-018-001, Ministry of Science and Technology (http://www.most.gov.tw/mp.aspx), Taiwan to C-YL. The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17809	The authors have declared that no competing interests exist.	"This work was supported by the research grant awarded to Dr.Vibha Rani by the Department of Biotechnology, Government of India (BT/PR3642/AGR/36/709/2011)."
PONE-D-15-17840	The authors have declared that no competing interests exist.	Funding was provided by Health Research Board HRA_POR/2011/55.
PONE-D-15-17850	The authors have declared that no competing interests exist.	"This study was funded by PRIN (Progetti di Rilevante Interesse Nazionale) to FA (Grant number: 2010B5B2NL_003). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17887	Saliha Moussaoui was an employee of Novartis and is now an employee of Rhenovia Pharma. This does not alter the authors’ adherence to PLOS ONE policies on sharing data and materials.	"This work was funded by the Medical Research Council (G0801314). Novartis provided support in the form of salary for author SM, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific role of this author is articulated in the ‘author contributions’ section.   "
PONE-D-15-17905	The authors have declared that no competing interests exist.	"Support was provided by Bundesministerium für Bildung und Forschung (Grant number: 0315892A) to JV and OW. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17912	SED is employed by MR DNA Molecular Research LP. The authors have declared that no other competing interests exist. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials.	"This work was supported by United State Public Health Service National Institutes of Health AI028797 and AI073290 (to RD) and MR; DNA Molecular Research LP (to SED). The funders provided support in the form of salaries for authors (RD, SYP, DRK, SED, and DG), but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-17931	The authors have declared that no competing interests exist.	"Supplies and LKS were funded by the Office of Naval Research (N00014-08-1-1195, N00014-13-1-0134, and N00014-10-1-0356) and the E&P Sound and Marine Life Joint Industry Project of the International Association of Oil and Gas Producers (JIP2207–23). LH was supported by National Science Foundation OPP grant ANT-0838937, and CG was supported by an NSF pre-doctoral fellowship. SHP was funded by the Friends of Long Marine Lab, the Earl and Ethel Myers Oceanographic Trust, the University of California NRS Mildred Mathias Graduate Student Research Grant Program, and the Rebecca and Steve Sooy Graduate Fellowship in Marine Mammals. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17935	The authors have declared that no competing interests exist.	"This work was supported by the National Institutes of Health (NIH) R01-ES12186. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-17943	"The corresponding author has read the journal's policy and the authors of this manuscript have the following competing interests: ZS, XY, RH, RJ, JL and TZ are employees of Tianjian CanSino Biotechnology, Inc., of China. The declared competing interest does not alter the authors’ adherence to PLOS ONE policies on sharing of data and/or materials."	"This study was supported with funds from Chinese National Science and Technology Major Project Fund (Project No. 2013ZX10003006), from AREAS Global TB Vaccine Foundation, and from the Canadian Institutes for Health Research. "
PONE-D-15-17998	"MH and PO are employees of Redoxis, which has a commercial interest in autoimmune models of arthritis, including PIA. This does not alter the authors' adherence to all PLOS ONE policies on sharing data and materials. The other authors have no conflicts of interest."	"BTCure is funded by the Innovative Medicines Initiative (IMI), a public-private partnership between the European Union and the European Federation of Pharmaceutical Industries and Associations (EFPIA). This study was also supported by the Swedish Strategic Science Foundation, the Knut and Alice Wallenberg Foundation, the Konung Gustaf V:s 80-års fond, the Swedish Research Council, the Swedish Rheumatism Association, and European Union FP7 Neurinox to RH. Redoxis provided support in the form of salaries for authors MH and PO, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18001	The authors have declared that no competing interests exist.	"Medical Research Council (www.mrc.ac.uk) Centre Grant (G0700091) provided a clinical training fellowship to PN. This work was supported by British Heart Foundation (www.bhf.org.uk) project grants 09/287/28051 and 12/12/29433 awarded to TJAC. FvE was supported by European Commission (http://cordis.europa.eu/result/rcn/140792_en.html) as part of its Seventh Framework Programme (EC Grant Agreement HEALTH-F4-2010-242048). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18046	The authors have declared that no competing interests exist.	The authors received no specific funding for this work.  
PONE-D-15-18058	The authors have declared that no competing interests exist.	"This research was supported by a Grant-in-Aid for Scientific Research (S) Number 25220102 to H.M. from the Ministry of Education, Culture, Sports, Science and the unspecified fund from Technology of Japan and Japan Aerospace eXploration Agency."
PONE-D-15-18075	The authors have declared that no competing interests exist	EU Seventh Framework Programme (HEALTH-F2-2008-223040) http://ec.europa.eu/research/health/medical-research/cardiovasculardiseases/ projects/chearted_en.html
PONE-D-15-18084	The authors have declared that no competing interests exist.	"This study was supported by a grant from Kuwait University Research Sector/Administration (Project number MR 05/09). The authors also acknowledge support from the OMICS Research Unit / RCF  and the General Facility Grant (SRUL02/13). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18150	The authors have declared that no competing interests exist.	"This work was supported by grants from the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK, 1R01DK077624) and the Research Institute for Children, Children's Hospital at New Orleans (6931). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18179	The authors have declared that no competing interests exist.	The authors have no support or funding to report.
PONE-D-15-18190	The authors have declared that no competing interests exist.	"This work was supported by the Medical Research Council, United Kingdom (U117565642), The Francis Crick Institute, Mill Hill Laboratory (Crick 10126) and the European Research Council (294682-TB-PATH). SB was in part jointly funded by the UK Medical Research Council (MRC) and the UK Department for International Development (DFID) under the MRC/DFID Concordat agreement (MR/J010723/1). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.  "
PONE-D-15-18191	The authors have declared that no competing interests exist.	"SE3266 (https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs) HMV BVR AOW GSD DC FJS, 60701235 (http://www.mrc.ac.uk/) EZT PCLB. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18200	The authors have declared that no competing interests exist.	The authors have no support or funding to report.
PONE-D-15-18201	"The authors have read the journal's policy and have the following competing interests: CD, CW, JK and KS were paid employees of WaveLight GmbH, Erlangen, Germany when this study was conducted. All other authors have declared that no competing interests exist. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"This study was funded by the German Federal Ministry of Education and Research (Bundesministerium für Bildung und Forschung, BMBF), project grant no. 01EX1011B. The funder Wavelight GmbH provided support in the form of equipment (prototype femtosecond laser) and salaries for authors JöK, KS, CW and CD, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the 'author contributions' section."
PONE-D-15-18224	The authors have declared that no competing interests exist.	"This study is supported by the National Natural Science Foundation of China (No. 81160107, JAT), Guangxi Science Research and Technique Development Plan Foundation (No. 1104003B-69, JQ), and Guangxi Natural Science Foundation (No. 2010GXNSFB013083, JAT). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18247	The authors have declared that no competing interests exist.	"This study was funded by the Penn Center for Musculoskeletal Disorders (National Institutes of Health/National Institute of Arthritis and Musculoskeletal and Skin Diseases P30 AR050950, http://www.niams.nih.gov/) and the U.S. Department of Veterans Affairs (VISN 4 CPPF, http://www.research.va.gov/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18254	The authors have declared that no competing interests exist.	Sara Windahl was funded by a Marie Sklodowska Curie Individual Fellowship.
PONE-D-15-18255	The authors have declared that no competing interests exist.	Experiments completed in this manuscript were funded by NIH RO1MH068283.  
PONE-D-15-18261	The authors have declared that no competing interests exist.	"The NU-SDRC is supported by the National Institute of Arthritis and Musculoskeletal and Skin Diseases (http://www.niams.nih.gov/) Grant AR057216. This research is supported by National Institutes of Health (https://www.nei.nih.gov/) Grants EY06769, EY017536 and EY019463 (to R.M.L.); a Dermatology Foundation (http://dermatologyfoundation.org/) research grant and Career Development Award (to H.P.); and a MidWest Eye-Banks (http://www.eversightvision.org/) research grant (H.P.). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18267	The authors have declared that no competing interests exist.	"This work was funded by awards from the National Institutes of Health (P20-GM103464 and R21-NS085691 to SY). This project was also partially supported by Delaware INBRE Core Center Access Award (SY) from an Institutional Development Award (IDeA) Network of Biomedical Research Excellence program (INBRE; P20-GM103446) of the National Institutes of Health. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18269	The authors have declared that no competing interests exist.	"This work was supported in part by NIH Grant R25OD010452 to SAF and philanthropic donations to JPG for research in mouse welfare. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18286	The authors have declared that no competing interests exist.	"This work was supported by Japan Society for the Promotion of Science Grant Number 26850181 (MT). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18291	The authors have declared that no competing interests exist.	"This work was supported by National Health and Medical Research Council Grant GNT1061288. MY was supported by a postgraduate award from the Ministry of National Education, Republic of Turkey, and AE was supported by a National Health and Medical Research Council Career Development Fellowship GNT1035858 and by the Ramaciotti Foundation. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18295	The authors have declared that no competing interests exist.	"This work was supported by National Natural Science of Foundation of China (No.81100355, 81172613, 81300430) and Zhejiang Provincial Natural Science Foundation of China (No. LQ12H08002, Y2111000). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18339	The authors have declared that no competing interests exist.	"DJ, JE and EL were supported by the German Centre for Diabetes Research (DZD e.V.) of the Federal Ministry for Education and Research (BMBF). DE and EL were supported by the Deutsche Forschungsgemeinschaft DFG (La1216/6-1)."
PONE-D-15-18353	The authors have declared that no competing interests exist.	"RR was support by 'La Fondation Art & Vie', 'La Fondation Romande pour la Recherche sur le Diabète' (www.fondationromande-diabete.ch) and  'La Fondation Charles et Ruth Rouffy'. The Mouse Metabolic Facility (FP) is supported by the UniL/CHUV (Université de Lausanne (CH) and Centre Hospitalier Universitaire Vaudois (CHUV)). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18415	The authors have declared that no competing interests exist.	"This work was supported by a Grant-in-aid for Scientific Research for Young Scientists (A) (JSPS KAKENHI Grant Number 21688007), by a Grant-in-aid for Scientific Research (S) (JSPS KAKENHI Grant Number 25221203), by a Grant-in-aid for Scientific Research (C) (JSPS KAKENHI Grant Number 24580139), by a Grant-in-aid for Exploratory Research (JSPS KAKENHI Grant Number 26660071), by a Grant-in-aid for Scientific Research on Priority Areas (MEXT (Ministry of Education, Culture, Sports, Science and Technology) KAKENHI Grant Number 20056016), and by the World Premier International Research Center Initiative (WPI initiative) from the Ministry of Education, Culture, Sports, Science, and Technology of Japan, and grants from BRAIN (the Bio-oriented Technology Research Advancement Institution). "
PONE-D-15-18437	"Thomas Nyström is on the national advisory board of Eli Lilly, Novonordisk and Sanofi. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"This work was supported by Novo Nordisk foundation [Grant number 5421], (http://www.novonordiskfonden.dk/en/grantrecipients?field_date_value%5Bvalue%5D&field_date_value_1%5Bvalue%5D&field_related_center_tid=All&keys=&page=1), Diabetesfonden [Grant number DIA2013-010], (http://www.diabetesfonden.se/Forskning/Beviljade-projekt/), The Swedish Heart and Lung Foundation [grant number:20130523, (http://www.hjartlungfonden.se/Forskning/), The fighting stroke project (Uppdrag Besegra Stroke). This work has also been supported by grants from: Konung Gustaf V:s och Drottning Victorias Frimurarestiftelse, The foundations Magnus Bergvalls, Syskonen Svensson, Åhlén, STROKE Riksförbundet, Gamla Tjänarinnor. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18456	The authors have declared that no competing interests exist.	"This work was funded by NIH grant P50 AR063043 (to NEL), R01 AR061366 (to WY), and SCOR Pilot Award (to ZAZ).  "
PONE-D-15-18465	The authors have declared that no competing interests exist.	The authors have no support or funding to report.
PONE-D-15-18469	The authors have declared that no competing interests exist.	"This work is co-funded by the European Territorial Cooperation Programmes (80%) and by national funds of Greece and Cyprus (20%). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18494	The authors have declared that no competing interests exist.	"LB is supported by a grant from the National Cancer Institute (http://www.cancer.gov/; R25CA057726) and was previously supported by a Predoctoral Traineeship Award from the United States Department of Defense, Breast Cancer Research Program of the Congressionally Directed Medical Research Programs (http://cdmrp.army.mil/bcrp/; W81XWH-11-1-0132).  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18562	The authors have declared that no competing interests exist.	"PS was funded by fellowships from: Danish Medical Research Council Fellowship: http://ufm.dk/forskning-og-innovation/rad-og-udvalg/det-frie-forskningsrad/radet/dff-sundhed-og-sygdom; EMBO Long-Term Postdoctoral Fellowship: www.embo.org; Marie Curie Intra-European Fellowship: ec.europa.eu. The research was supported by grants to KH from: The Danish National Research Foundation (DNRF82): www.dg.dk; the European Union grant BLUEPRINT (FP7/2011; 282510): ec.europa.eu/; The Lundbeck Foundation: www.lundbeckfonden.com; The Novo Nordisk Foundation: www.novonordiskfonden.dk; The Danish Council for Strategic Research (12-110503): innovationsfonden.dk. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18570	The authors have declared that no competing interests exist.	"This work was funded by Fundação para a Ciência e Tecnologia, Portugal and cofunded by Programa Operacional Regional do Norte (ON.2–O Novo Norte), Quadro de Referência Estratégico Nacional (QREN), through the Fundo Europeu de Desenvolvimento Regional (FEDER). Project grants: PTDC/SAU-MII/101977/2008 (to AGC) and PTDC/BIA-BCM/102776/2008 (to MS). LMT was supported by FCT Grant SFRH/BPD/77399/201. MS is an Associate-FCT Investigator fellow. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18587	The authors have declared that no competing interests exist.	"The work was supported by the German Research Foundation (DFG; Je 163/11-1; URL http://www.dfg.de/en/) and German Academic Exchange Service (DAAD; A/10/86242; https://www.daad.de/en/).  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18594	The authors have declared that no competing interests exist.	"This work was supported by grants from the National Natural Science Foundation of China (81070673), the Special Foundation of Guangdong Province College Talent Introduction (10027425), the Project Sponsored by the Scientific Research Foundation for Returning Overseas Chinese Scholars, State Education Ministry (20111568), and the Natural Science Foundation of Guangdong Province (S2011010005102). "
PONE-D-15-18616	The authors have declared that no competing interests exist.	"This work was support by the Department of Biotechnology, Ministry of Science and Technology, Government of India, and the Central Zoo Authority of India, Government of India."
PONE-D-15-18635	The authors have declared that no competing interests exist.	"The Natural Sciences and Engineering Council of Canada (www.nserc-crsng.gc.ca) provided funding through a postdoctoral fellowship to AL, and an operating grant to FB (#163318). Additional funding was provided by the University of New South Wales through a Vice-Chancellor's Postdoctoral Fellowship (AL; https://research.unsw.edu.au/unsw-internal-funding-opportunities#VC_Postdoc_Anchor), The Field Museum of Natural History (FB; www.fieldmuseum.org) and the National Geographic Society (FB; www.nationalgeographic.com). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18643	The authors have declared that no competing interests exist.	"This research was supported by grants from the National Institute of Diabetes and Digestive and Kidney Diseases of the National Institutes of Health awarded to Dr. Tso (grant nos. DK 59630, DK 92138, and DK 76928) and The Cincinnati MMPC (grant no. U24 DK059630). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18647	The authors have declared that no competing interests exist.	"SFK was supported by ALW grant # 821-02-007 from the Netherlands Organization for Scientific Research NWO. The funding source had no involvement in the study design; in the collection, analysis and interpretation of data; in the writing of the report; and in the decision to submit the article for publication."
PONE-D-15-18648	The authors have declared that no competing interests exist.	"This study was supported by grants from the Swedish National Research Council (VRNT). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18652	"YS received funding from commercial sources (Merck & Co. and Sanofi); however, the funders had no role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. Thus, this does not alter the authors’ adherence to PLOS ONE policies on sharing data and materials. The rest of the authors declare no competing interests."	"This study was supported in part by research grants from Merck & Co. (to YS) and Sanofi (to YS), and a Grant-in-Aid for Scientific Research (C26460497) from the Japan Society for the Promotion of Science (to AA). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18662	The authors have declared that no competing interests exist.	"The authors gratefully acknowledge the financial support from the National Natural Sciences Foundation of China (81300158,81270269), Aid Program for Science and Technology Department of Human Province (2015JC3083), Outstanding Young Aid Program for Education Department of Human Province (13B103), Research and Innovation Aid Program for Graduate Student of Human Province (CX2014B393), Scientific Research Aid Program for Chinese Medicine of Human Province (201524), Aid Program for Science and Technology Bureau of HengYang City (2013KS20, 2013KS25), Aid Program for Science and Technology Innovative Research Team in Higher Educational Institutions (2008-244) of Hunan Province, and the Construct Program of the Key Discipline in Hunan Province, Research and Innovation Aid Program for College Student of University of South China (52), China. The funders had key role in study design, data collection and analysis, decision to publish and preparation of the manuscript."
PONE-D-15-18666	The authors have declared that no competing interests exist.	"This work was supported by the Deutsche Forschungsgemeinschaft (DFG), SFB 1039/Z01 and Land Hessen, (LOEWE-Zentrum Translationale Medizin und Pharmakologie). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18672	The authors have declared that no competing interests exist.	"This work was supported by the grants from Ministry of Science and Technology, Taiwan, http://www.most.gov.tw/mp.aspx?mp=7 (grant no. NSC102-2320-B-182-021), and the Research Program for Chang Gung Memorial Hospital, Taoyuan, Taiwan https://www.cgmh.org.tw/eng2002/index.asp (contract no. CMRPD1B0081~3 and CMRPD1B0111~2). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18674	The authors have declared that no competing interests exist.	JS Davis is supported by the Janice Davis Gordon Memorial Postdoctoral Fellowship in Colorectal Cancer Prevention Research. Research is supported by CPRIT grant RP120280 to X Wu.
PONE-D-15-18678	The authors have declared that no competing interests exist. 	L.M.F. was supported by a grant from the NIH (5T32HD071839-02). This work was supported by USDA/ARIS 6250-51000-051-00D and funds from the Soy Health and Dry Bean Health Research Programs. 
PONE-D-15-18679	The authors have declared that no competing interests exist.	ANNU was supported by UGC-BSR [No.F4-1/2006(BSR)/7-366/2012(BSR) dated 22-10-2013]. VJ was supported by UGC-BSR [No.F4-1/2006(BSR)/7-366/2012-13(BSR) dated 25-02-2013]. KNS was supported by UGC-NON NET (DV9/192/NON-NETFS/2013-14).
PONE-D-15-18702	The authors have declared that no competing interests exist.	"Funding provided by National Institutes of Health HL55667 and AG039094: JCR, Richard A. and Nora Eccles Harrison Endowed Chair in Diabetes Research Fund: JCR and the UCD Humanities Graduate Research Award and the UCD Dissertation Year Fellowship: LE.  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-18720	The authors have declared that no competing interests exist.	"This work was funded by National Research Institute of Chinese Medicine (grant no. NRICM-101-pp-02) to YJS, Ministry of Science and Technology (grant no. MOST-102-2320-B-077-003) to HKL, and Ministry of Science and Technology (MOST-103-2311-B-010-008) to HJT.   "
PONE-D-15-18743	The authors have declared that no competing interests exist.	"The current research was funded in part by the National Natural Science Foundation of China (31472084), the National High Technology Development Plan of China (2013AA102501), Programs for Changjiang Scholars and Innovative Research in University (IRT1191), and China Agriculture Research Systems (CARS-41)."
PONE-D-15-18744	Association with the Réserve Africaine de Sigean does not alter the authors' adherence to PLOS ONE policies on sharing data and materials.	"AA, GAC, ME, OA, NO and ADG were supported by a grant from the Leibniz Gemeinschaft SAW-2015-IZW-1 440. Benjamin Lamglait is an employee of the Réserve Africaine de Sigean, a commercial entity. The funder provided support in the form of salaries for authors [BL], but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript."
